Type,Value
IPv4,188.132.150.203
IPv4,194.169.175.43
IPv4,194.169.175.33
IPv4,194.169.175.30
IPV4,213.238.182.147
IPv4,91.217.137.37
IPv4,94.16.114.254
IPv4,104.21.77.242
IPv4,192.227.173.64
IPv4,91.92.254.9
IPv4,87.246.7.194
IPv4,194.169.175.20
IPv4,194.169.175.19
IPv4,93.123.85.139
IPv4,93.123.85.149
Domain,bot.elite-likes.de
Domain,bot.shop4youv2.de
Domain,c2.abadila.best
Domain,bot.pvp-rivals.com
Domain,pvp-rivals.com
Domain,bot.abadila.best
Domain,owned.abadila.best
Domain,chinkz.abadila.best
Domain,cnc.tsuki.army
Domain,tsuki.army
Domain,lsagjogu8ztaueghasdjsdigh.cc
Domain,xysk5eeyj0j5n.xyz
Domain,rebirthltd.dev
Domain,rebirthbot.icu
Domain,rebirthltd.com
Domain,rebirthltd.dev
Domain,yoshiproxy.ltd
Domain,yosh.ltd
Domain,yoshservices.ltd
Domain,akane-network.net
